,duration,most_time_x,most_time_y,second_time_x,second_time_y,live,work,first_name,last_name,age,gender
1,7,472,372,416,329,No,No,Anonymous,Anonymous,35-44,NA
2,2,565,338,451,352,No,Yes,Anonymous,Anonymous,18-24,Female
3,2,448,413,417,315,No,No,Anonymous,Anonymous,18-24,Male
4,2,536,370,422,323,No,Yes,Anonymous,Anonymous,25-34,Female
5,2,536,354,422,398,No,No,Anonymous,Anonymous,18-24,Male
6,7,303,357,402,370,No,No,Anonymous,Anonymous,NA,NA
7,3,412,330,406,310,No,No,Anonymous,Anonymous,25-34,Male
8,9,209,317,391,368,No,No,Anonymous,Anonymous,25-34,Male
9,3,421,298,428,345,No,Yes,Anonymous,Anonymous,25-34,Male
10,8,426,292,428,342,Yes,No,Anonymous,Anonymous,25-34,Male
11,5,425,360,719,508,No,Yes,Anonymous,Anonymous,25-34,Male
12,10,433,353,412,340,No,No,Anonymous,Anonymous,55-64,Male
13,5,436,343,410,330,Yes,Yes,Anonymous,Anonymous,35-44,Female
14,7,416,298,413,335,Yes,Yes,Anonymous,Anonymous,25-34,Female
16,5,410,309,435,366,Yes,No,Anonymous,Anonymous,35-44,Male
17,10,429,324,401,245,Yes,Yes,Anonymous,Anonymous,45-54,Female
18,1,542,358,417,338,No,No,Anonymous,Anonymous,35-44,Female
19,10,408,375,414,304,Yes,No,Anonymous,Anonymous,25-34,Female
20,1,413,413,411,315,No,Yes,Anonymous,Anonymous,25-34,Male
21,7,427,377,471,485,No,Yes,Anonymous,Anonymous,25-34,Male
22,4,NA,NA,NA,NA,No,No,Anonymous,Anonymous,18-24,Male
23,5,419,343,427,387,Yes,Yes,Anonymous,Anonymous,35-44,Female
24,6,155,114,377,310,No,Yes,Anonymous,Anonymous,35-44,Female
25,7,423,308,555,461,No,Yes,Anonymous,Anonymous,25-34,Male
26,1,436,336,401,229,Yes,Yes,Anonymous,Anonymous,18-24,Female
27,3,413,299,408,372,Yes,Yes,Anonymous,Anonymous,25-34,Female
28,7,424,359,441,357,No,,Anonymous,Anonymous,25-34,Male
29,3,403,283,412,252,No,Yes,Anonymous,Anonymous,25-34,Male
30,1,333,362,478,372,No,No,Anonymous,Anonymous,18-24,Female
31,8,401,300,418,338,Yes,No,Anonymous,Anonymous,25-34,Male
32,4,422,313,369,507,Yes,Yes,Anonymous,Anonymous,25-34,Female
33,6,368,294,555,393,No,Yes,Anonymous,Anonymous,18-24,Female
34,10,377,334,465,417,No,Yes,Anonymous,Anonymous,25-34,Female
35,3,394,291,392,206,No,Yes,Anonymous,Anonymous,35-44,Male
36,5,410,215,435,347,No,No,Anonymous,Anonymous,18-24,Female
37,1,384,332,670,732,No,No,Anonymous,Anonymous,25-34,Male
38,1,382,294,312,255,No,Yes,Anonymous,Anonymous,25-34,Female
39,7,416,332,353,491,No,No,Anonymous,Anonymous,18-24,Male
40,5,444,349,411,233,No,Yes,Anonymous,Anonymous,25-34,Female
41,8,299,71,292,68,Yes,Yes,Anonymous,Anonymous,25-34,Male
42,2,416,312,357,324,No,No,Anonymous,Anonymous,25-34,Female
43,5,444,353,706,435,No,Yes,Anonymous,Anonymous,18-24,Female
44,4,451,380,601,269,No,Yes,Anonymous,Anonymous,18-24,Female
45,3,374,511,NA,NA,No,No,Anonymous,Anonymous,NA,NA
46,3,158,440,413,305,No,Yes,Anonymous,Anonymous,18-24,Female
